	0	1
627	12	-16
628	-8	-18
629	-13	23
630	-1	9
631	4	0
632	-7	-5
633	-20	24
634	6	16
635	-9	7
636	-13	9
637	24	-32
638	2	-28
639	5	-19
640	7	1
641	-8	36
642	8	18
643	7	-1
644	-5	41
645	2	-22
646	-6	12
647	-17	-17
648	10	16
649	9	29
650	-17	29
651	-16	8
652	-36	-2
653	-19	13
654	7	-3
655	10	-14
656	3	5
657	-2	-18
658	2	8
659	-1	-1
660	-25	9
661	8	-8
662	16	-14
663	-45	7
664	24	-2
665	1	9
666	-45	13
667	10	-14
668	-14	8
669	5	-11
670	-41	5
671	-8	4
672	-5	5
673	-22	6
674	14	-8
675	-13	-5
676	-17	-23
677	12	-8
678	-24	6
679	11	-1
680	-14	4
681	-17	15
682	-3	-9
683	-36	16
684	-4	14
685	-29	11
686	-3	-13
687	22	6
688	-15	23
689	-10	2
690	18	-12
691	-15	5
692	-7	19
693	4	28
694	4	22
695	9	29
696	10	-16
697	-11	5
698	-5	45
699	4	12
700	-16	18
701	-43	17
702	-13	5
703	-26	-10
704	7	-3
705	-30	14
706	-2	24
707	19	-1
708	17	7
709	34	-2
710	10	-24
711	-11	13
712	2	-16
713	23	23
714	9	-13
715	4	-4
716	-18	4
717	-35	-3
718	-17	13
719	4	0
720	-19	15
721	-22	-18
722	-6	12
723	-3	-19
724	-9	5
725	10	-30
726	2	-20
727	11	-13
728	18	-20
729	1	1
730	7	1
731	-48	12
732	-18	36
733	15	11
734	1	-5
735	-4	16
736	29	-41
737	6	14
738	2	-16
739	5	-19
740	-1	-11
741	-2	-6
742	14	-4
743	-25	-33
744	-4	10
745	-17	-9
746	29	-25
747	14	-2
748	0	-6
749	13	33
750	11	13
751	6	6
752	17	3
753	32	4
754	-28	-2
755	9	-15
756	7	9
757	-12	24
758	8	14
759	11	7
760	10	-32
761	-29	-17
762	-15	-1
763	-20	44
764	-30	16
765	-27	17
766	-1	-7
767	4	-16
768	-14	8
769	-7	5
770	-19	11
771	-22	10
772	-2	4
773	19	-1
774	11	21
775	22	-6
776	41	-5
777	-10	10
778	4	6
779	3	-13
780	-1	17
781	-18	10
782	20	-6
783	21	-7
784	-14	4
785	15	11
786	-13	-7
787	-6	22
788	10	-8
789	-3	29
790	-23	31
791	6	2
792	-13	1
793	6	34
794	12	-34
795	13	-7
796	5	7
797	10	10
798	12	-2
799	-17	19
800	-2	12
801	-5	7
802	15	-11
803	-6	-6
804	6	0
805	17	-31
806	-7	7
807	18	-6
808	13	-5
809	16	24
810	10	-8
811	15	-13
812	-17	17
813	-12	0
814	30	-28
815	-11	9
816	12	-22
817	-21	3
818	3	-3
819	-28	4
820	20	-14
821	1	-23
822	1	-1
823	0	-4
824	-11	19
825	-14	14
826	32	-38
827	-5	-1
828	-25	5
829	-2	-14
830	0	22
831	5	5
832	2	-8
833	3	11
834	15	-31
835	-22	10
836	-28	-10
837	-5	7
838	-9	-15
839	24	-48
840	-15	47
841	20	-32
842	-14	4
843	19	-17
844	-23	3
845	-2	6
846	-8	10
847	-21	15
848	-12	18
849	-13	23
850	-17	13
851	4	-12
852	-6	16
853	-9	19
854	-9	17
855	10	-2
856	13	-5
857	-10	14
858	4	-14
859	-1	3
860	1	15
861	-4	-4
862	26	-12
863	7	7
864	4	-10
865	11	-1
866	19	-15
867	4	16
868	2	12
869	-9	3
870	7	-7
871	6	-18
872	-13	-15
873	-4	-8
874	-6	-4
875	-23	21
876	-17	-3
877	2	6
878	-4	2
879	-11	5
880	8	-2
881	1	21
882	-3	-5
883	-4	-28
884	-2	0
885	5	-3
886	-3	11
887	10	2
888	17	-21
889	12	-8
890	-10	8
891	11	-5
892	-3	-13
893	10	-14
894	20	-18
895	11	11
896	13	7
897	2	-10
898	14	-16
899	-27	-3
900	-17	13
901	2	26
902	6	8
903	-5	-5
904	-24	2
905	31	-25
906	-3	7
907	-6	-2
908	12	2
909	-3	-7
910	-17	9
911	22	10
912	-5	1
913	10	6
914	14	16
915	3	-9
916	9	-1
917	-18	2
918	-10	12
919	17	9
920	-32	14
921	1	1
922	-9	-15
923	10	-30
924	24	-10
925	3	3
926	-7	15
927	-26	18
928	11	1
929	-10	38
930	-2	-12
931	3	15
932	17	-9
933	2	10
934	-14	4
935	13	5
936	-14	20
937	7	-25
938	-27	31
939	0	4
940	2	4
941	-7	-7
942	3	33
943	-16	0
944	-13	9
945	-12	24
946	0	-14
947	31	-21
948	9	3
949	-16	8
950	0	-6
951	-11	-31
952	-12	-2
953	-9	11
954	17	-25
955	6	2
956	-20	2
957	-7	17
958	11	-7
959	-22	30
960	-5	17
961	2	-10
962	-2	-8
963	35	-25
964	15	-27
965	4	0
966	12	2
967	-1	15
968	10	12
969	15	19
970	-3	-5
971	12	8
972	-4	6
973	3	15
974	17	-5
975	2	-14
976	-17	5
977	8	-8
978	-4	18
979	15	27
980	7	-7
981	-26	2
982	-14	8
983	11	-17
984	0	18
985	-1	7
986	29	-17
987	26	-18
988	6	4
989	-25	-13
990	17	-21
991	32	-4
992	31	5
993	4	-16
994	8	-22
995	-5	-17
996	15	17
997	2	-22
998	10	4
999	11	-33
1000	-22	-8
1001	-27	-3
1002	7	-7
1003	4	-36
1004	-8	2
1005	-11	1
1006	-9	9
1007	6	30
1008	-7	11
1009	-28	16
1010	-4	-18
1011	-15	9
1012	33	-29
1013	-6	30
1014	-30	24
1015	21	1
1016	22	16
1017	23	-9
1018	-19	7
1019	4	-32
1020	-4	-2
1021	-9	15
1022	9	-9
1023	-22	-14
1024	-4	8
1025	1	11
1026	5	-19
1027	-4	22
1028	6	-22
1029	-15	11
1030	13	9
1031	10	24
1032	-1	-25
1033	-6	-12
1034	-12	-16
1035	13	-1
1036	-5	11
1037	0	2
1038	-2	-10
1039	17	7
1040	-24	24
1041	11	-11
1042	-9	15
1043	-8	-2
1044	-30	30
1045	-13	25
1046	11	3
1047	-6	-8
1048	29	9
1049	22	-8
1050	8	-4
1051	-29	17
1052	9	-7
1053	-4	10
1054	22	-22
1055	11	9
1056	0	4
1057	15	1
1058	-21	11
1059	4	-26
1060	-14	-22
1061	-41	29
1062	19	-13
1063	18	-4
1064	31	11
1065	-28	18
1066	-6	10
1067	-19	3
1068	-5	3
1069	10	-4
1070	4	-12
1071	-15	-9
1072	-6	6
1073	27	-7
1074	11	23
1075	18	-12
1076	16	28
1077	-25	-3
1078	-5	-37
1079	-8	-18
1080	-5	-1
1081	26	-4
1082	-4	0
1083	-3	19
1084	11	-17
1085	-20	-2
1086	22	-10
1087	9	-13
1088	2	-30
1089	-3	15
1090	17	-7
1091	-38	24
1092	-2	18
1093	7	-19
1094	31	-25
1095	-10	28
1096	-15	9
1097	-2	12
1098	0	-8
1099	-1	1
1100	27	-25
1101	2	12
1102	-20	12
1103	5	-33
1104	8	-24
1105	-7	7
1106	5	1
1107	-8	-10
1108	-4	4
1109	-13	1
1110	-25	15
1111	16	-6
1112	-23	9
1113	4	14
1114	-10	18
1115	-1	9
1116	3	-13
1117	-24	18
1118	22	-2
1119	9	-9
1120	20	-8
1121	-23	-9
1122	1	13
1123	-12	14
1124	8	-4
1125	-13	9
1126	31	7
1127	-24	-2
1128	15	-25
1129	-10	12
1130	-8	0
1131	-7	-13
1132	17	-47
1133	10	-24
1134	-4	0
1135	-1	-3
1136	4	4
1137	11	-7
1138	-25	-5
1139	-16	22
1140	4	-16
1141	17	27
1142	5	-7
1143	-12	-14
1144	17	13
1145	-6	0
1146	-16	0
1147	-33	13
1148	7	-1
1149	-6	-28
1150	4	-4
1151	-3	-29
1152	1	-3
1153	-20	-14
1154	0	16
1155	33	-17
1156	9	17
1157	10	4
1158	-14	10
1159	-7	-1
1160	4	-8
1161	25	-13
1162	11	-21
1163	-38	20
1164	38	-2
1165	-3	11
1166	-9	-1
1167	24	-14
1168	-1	15
1169	4	2
1170	0	-24
1171	-9	1
1172	-25	23
1173	-6	8
1174	-10	34
1175	-5	1
1176	4	4
1177	-13	21
1178	-11	13
1179	-14	0
1180	30	-34
1181	-1	9
1182	5	-39
1183	4	-2
1184	-13	-13
1185	8	-6
1186	16	-4
1187	-13	21
1188	3	11
1189	6	16
1190	-6	-22
1191	-5	25
1192	-10	2
1193	-3	-9
1194	31	-17
1195	0	2
1196	0	-28
1197	-15	-5
1198	-21	23
1199	22	-12
1200	-5	3
1201	-18	4
1202	2	-30
1203	15	-15
1204	-33	27
1205	-32	2
1206	-4	4
1207	-25	17
1208	0	-4
1209	13	-5
1210	-5	-1
1211	6	-16
1212	22	-18
1213	-11	15
1214	23	3
1215	4	-18
1216	-3	1
1217	-26	32
1218	2	-18
1219	-11	27
1220	-37	-9
1221	-6	-20
1222	-18	14
1223	23	-7
1224	0	-8
1225	-1	-7
1226	-7	17
1227	30	-36
1228	-28	28
1229	-3	-1
1230	27	7
1231	10	-20
1232	9	21
1233	-12	-6
1234	24	-24
1235	1	-1
1236	-1	-9
1237	8	2
1238	-16	16
1239	-9	-11
1240	-10	22
1241	15	29
1242	1	-27
1243	28	2
1244	34	-2
1245	5	15
1246	-9	3
1247	-4	-14
1248	-11	9
1249	0	26
1250	-4	16
1251	1	-17
1252	3	27
1253	20	-22
1254	8	-20
1255	3	1
1256	0	-4
1257	25	-9
1258	-9	-21
1259	14	-8
1260	-36	28
1261	15	-15
1262	-23	5
1263	10	4
1264	-1	-9
1265	8	2
1266	-16	12
1267	23	9
1268	9	-31
1269	-24	2
1270	-12	-12
1271	-15	-17
1272	4	4
1273	-21	1
1274	13	1
1275	-2	-4
1276	-20	4
1277	-11	-5
1278	-1	-9
1279	2	4
1280	6	6
1281	-17	5
1282	-17	19
1283	-2	-4
1284	-10	6
1285	5	-5
1286	-11	13
1287	-22	4
1288	-27	37
1289	16	2
1290	-6	38
1291	7	-23
1292	-13	35
1293	8	-14
1294	-2	-10
1295	5	-13
1296	-8	16
1297	-1	25
1298	-5	3
1299	-12	18
1300	20	0
1301	17	-41
1302	1	-7
1303	0	-2
1304	-15	9
1305	42	-40
1306	-8	0
1307	7	-7
1308	11	-1
1309	22	-32
1310	-12	-4
1311	5	15
1312	-4	0
1313	-9	-15
